,body,end,name,party,state,yrs
0,senate,"january 3, 2021",al franken,democratic,minnesota,8
1,senate,"january 3, 2019",amy klobuchar,democratic,minnesota,10
2,senate,"january 3, 2019",angus king,independent,maine,4
3,senate,"january 3, 2019",ben cardin,democratic,maryland,10
4,senate,"january 3, 2021",ben sasse,republican,nebraska,2
5,senate,"january 3, 2019",bernie sanders,independent,vermont,10
6,senate,"january 3, 2021",bill cassidy,republican,louisiana,2
7,senate,"january 3, 2019",bill nelson,democratic,florida,17
8,senate,"january 3, 2019","bob casey, jr.",democratic,pennsylvania,10
9,senate,"january 3, 2019",bob corker,republican,tennessee,10
10,senate,"january 3, 2019",bob menendez,democratic,new jersey,11
11,senate,"january 3, 2023",brian e. schatz,democratic,hawaii,5
12,senate,"january 3, 2023",catherine cortez masto,democratic,nevada,0
13,senate,"january 3, 2021",chris coons,democratic,delaware,7
14,senate,"january 3, 2019",christopher s. murphy,democratic,connecticut,4
15,senate,"january 3, 2023",chris van hollen,democratic,maryland,0
16,senate,"january 3, 2023",chuck grassley,republican,iowa,36
17,senate,"january 3, 2023",chuck schumer,democratic,new york,18
18,senate,"january 3, 2019",claire mccaskill,democratic,missouri,10
19,senate,"january 3, 2021",cory booker,democratic,new jersey,4
20,senate,"january 3, 2021",cory gardner,republican,colorado,2
21,senate,"january 3, 2021",daniel s. sullivan,republican,alaska,2
22,senate,"january 3, 2021",david perdue,republican,georgia,2
23,senate,"january 3, 2019",dean heller,republican,nevada,6
24,senate,"january 3, 2019",deb fischer,republican,nebraska,4
25,senate,"january 3, 2019",debbie stabenow,democratic,michigan,16
26,senate,"january 3, 2019",dianne feinstein,democratic,california,24
27,senate,"january 3, 2021",dick durbin,democratic,illinois,20
28,senate,"january 3, 2021",ed markey,democratic,massachusetts,4
29,senate,"january 3, 2019",elizabeth warren,democratic,massachusetts,4
30,senate,"january 3, 2021",gary peters,democratic,michigan,2
31,senate,"january 3, 2019",heidi heitkamp,democratic,north dakota,4
32,senate,"january 3, 2021",jack reed,democratic,rhode island,20
33,senate,"january 3, 2023",james lankford,republican,oklahoma,2
34,senate,"january 3, 2021",jeanne shaheen,democratic,new hampshire,8
35,senate,"january 3, 2019",jeff flake,republican,arizona,4
36,senate,"january 3, 2021",jeff merkley,democratic,oregon,8
37,senate,"january 3, 2021",jeff sessions,republican,"president donald trump's pick for united states attorney generalu.s. senate, alabama",20
38,senate,"january 3, 2023",jerry moran,republican,kansas,6
39,senate,"january 3, 2021",jim inhofe,republican,oklahoma,22
40,senate,"january 3, 2021",jim risch,republican,idaho,8
41,senate,"january 3, 2019",joe donnelly,democratic,indiana,4
42,senate,"january 3, 2019",joe manchin iii,democratic,west virginia,7
43,senate,"january 3, 2019",john barrasso,republican,wyoming,10
44,senate,"january 3, 2023",john boozman,republican,arkansas,6
45,senate,"january 3, 2021",john cornyn,republican,texas,14
46,senate,"january 3, 2023",john hoeven,republican,north dakota,6
47,senate,"january 3, 2023",john mccain,republican,arizona,30
48,senate,"january 3, 2023",john neely kennedy,republican,louisiana,0
49,senate,"january 3, 2023",john thune,republican,south dakota,12
50,senate,"january 3, 2023",johnny isakson,republican,georgia,12
51,senate,"january 3, 2019",jon tester,democratic,montana,10
52,senate,"january 3, 2021",joni ernst,republican,iowa,2
53,senate,"january 3, 2023",kamala d. harris,democratic,california,0
54,senate,"january 3, 2019",kirsten gillibrand,democratic,new york,8
55,senate,"january 3, 2021",lamar alexander,republican,tennessee,14
