,handle,name
0,RepTedBudd,ted budd
1,RepEspaillat,adriano espaillat
2,RepBRochester,rep. blunt rochester
3,RepBarragan,nanette d. barragan
4,RepLizCheney,rep. liz cheney
5,RepTomSuozzi,tom suozzi
6,SenJohnKennedy,john kennedy
7,RepBrianFitz,brian fitzpatrick
8,RepRoKhanna,rep. ro khanna
9,RepArrington,rep. arrington
10,RepKihuen,rep. ruben j. kihuen
11,RepMcEachin,rep. donald mceachin
12,RepCarbajal,rep. salud carbajal
13,RepJimBanks,jim banks
14,RepRooney,francis rooney
15,RepJasonLewis,jason lewis
16,RepCharlieCrist,rep. charlie crist
17,repdavidkustoff,rep. david kustoff
18,RepLouCorrea,lou correa
19,RepGallagher,rep. mike gallagher
20,DrNealDunnFL2,dr. neal dunn
21,RepJohnFaso,john faso
22,RepJoshG,rep josh gottheimer
23,CongressmanRaja,raja krishnamoorthi
24,RepBrianMast,rep. brian mast
25,RepTrey,trey hollingsworth
26,RepPaulMitchell,rep. paul mitchell
27,SenCortezMasto,senator cortez masto
28,RepRaskin,rep. jamie raskin
29,RepDrewFerguson,drew ferguson
30,RepValDemings,rep. val demings
31,RepTenney,congresswoman tenney
32,RepJimmyPanetta,jimmy panetta
33,RepStephMurphy,rep stephanie murphy
34,RepMarshall,rep. roger marshall
35,RepMikeCapuano,rep. michael capuano
36,RepLaHood,darin lahood
37,RepTrentKelly,trent kelly
38,DonaldNorcross,donald norcross
39,RepTedLieu,rep. ted lieu
40,dandonovan_ny,dan donovan
41,RepAmata,congresswoman amata
42,RepPeteAguilar,pete aguilar
43,RepGrothman,rep. glenn grothman
44,RepMiaLove,rep. mia love
45,CongressmanHice,rep. jody hice
46,SteveKnight25,rep. steve knight
47,RepBuddyCarter,buddy carter
48,RepKathleenRice,kathleen rice
49,RepDebDingell,rep. debbie dingell
50,RepBonnie,bonnie watsoncoleman
51,RepDeSaulnier,mark desaulnier
52,RepJohnKatko,john katko
53,RepRussell,rep. steve russell
54,RepRubenGallego,ruben gallego
55,RepRodBlum,congressman rod blum
56,RepMcSally,martha mcsally
57,RepBost,rep. mike bost
58,RepAlexMooney,rep. alex mooney
59,RepRickAllen,rick w. allen
60,SenThomTillis,senator thom tillis
61,HurdOnTheHill,rep. will hurd
62,RepTomMacArthur,tom macarthur
63,SenSasse,senator ben sasse
64,RepAbraham,rep. ralph abraham
65,RepDonBeyer,rep. don beyer
