,State,Link,URL,ID
0,alabama,"<a href=""http://twitter.com/choldgraf/lists/congress-alabama"">link</a>",twitter.com/choldgraf/lists/congress-alabama,826123618505498625
1,alaska,"<a href=""http://twitter.com/choldgraf/lists/congress-alaska"">link</a>",twitter.com/choldgraf/lists/congress-alaska,826123620787171329
2,arizona,"<a href=""http://twitter.com/choldgraf/lists/congress-arizona"">link</a>",twitter.com/choldgraf/lists/congress-arizona,826123624461393920
3,arkansas,"<a href=""http://twitter.com/choldgraf/lists/congress-arkansas"">link</a>",twitter.com/choldgraf/lists/congress-arkansas,826123627921764352
4,california,"<a href=""http://twitter.com/choldgraf/lists/congress-california"">link</a>",twitter.com/choldgraf/lists/congress-california,826123629372923904
5,colorado,"<a href=""http://twitter.com/choldgraf/lists/congress-colorado"">link</a>",twitter.com/choldgraf/lists/congress-colorado,826123632753545217
6,connecticut,"<a href=""http://twitter.com/choldgraf/lists/congress-connecticut"">link</a>",twitter.com/choldgraf/lists/congress-connecticut,826123634536099840
7,delaware,"<a href=""http://twitter.com/choldgraf/lists/congress-delaware"">link</a>",twitter.com/choldgraf/lists/congress-delaware,826123635328888832
8,florida,"<a href=""http://twitter.com/choldgraf/lists/congress-florida"">link</a>",twitter.com/choldgraf/lists/congress-florida,826123636134158336
9,georgia,"<a href=""http://twitter.com/choldgraf/lists/congress-georgia"">link</a>",twitter.com/choldgraf/lists/congress-georgia,826123636935319552
10,hawaii,"<a href=""http://twitter.com/choldgraf/lists/congress-hawaii"">link</a>",twitter.com/choldgraf/lists/congress-hawaii,826123637681905664
11,idaho,"<a href=""http://twitter.com/choldgraf/lists/congress-idaho"">link</a>",twitter.com/choldgraf/lists/congress-idaho,826123638512373760
12,illinois,"<a href=""http://twitter.com/choldgraf/lists/congress-illinois"">link</a>",twitter.com/choldgraf/lists/congress-illinois,826123639242190853
13,indiana,"<a href=""http://twitter.com/choldgraf/lists/congress-indiana"">link</a>",twitter.com/choldgraf/lists/congress-indiana,826123640026468352
14,iowa,"<a href=""http://twitter.com/choldgraf/lists/congress-iowa"">link</a>",twitter.com/choldgraf/lists/congress-iowa,826123640907272192
15,kansas,"<a href=""http://twitter.com/choldgraf/lists/congress-kansas"">link</a>",twitter.com/choldgraf/lists/congress-kansas,826123641616109569
16,kentucky,"<a href=""http://twitter.com/choldgraf/lists/congress-kentucky"">link</a>",twitter.com/choldgraf/lists/congress-kentucky,826123642480140290
17,louisiana,"<a href=""http://twitter.com/choldgraf/lists/congress-louisiana"">link</a>",twitter.com/choldgraf/lists/congress-louisiana,826123643176366080
18,maine,"<a href=""http://twitter.com/choldgraf/lists/congress-maine"">link</a>",twitter.com/choldgraf/lists/congress-maine,826123643906166784
19,maryland,"<a href=""http://twitter.com/choldgraf/lists/congress-maryland"">link</a>",twitter.com/choldgraf/lists/congress-maryland,826123644707368960
20,massachusetts,"<a href=""http://twitter.com/choldgraf/lists/congress-massachusetts"">link</a>",twitter.com/choldgraf/lists/congress-massachusetts,826123645516800000
